Time,Time Code,Country Name,Country Code,GDP (current US$) [NY.GDP.MKTP.CD],"Death rate, crude (per 1,000 people) [SP.DYN.CDRT.IN]","Adolescent fertility rate (births per 1,000 women ages 15-19) [SP.ADO.TFRT]",Age dependency ratio (% of working-age population) [SP.POP.DPND]
2015,YR2015,Afghanistan,AFG,19907111418.9938,6.929,81.693,89.9540923341871
2015,YR2015,Albania,ALB,11386846319.1589,7.367,20.0772,45.5504024648604
2015,YR2015,Algeria,DZA,165979418301.861,4.715,10.665,52.8377883037925
2015,YR2015,American Samoa,ASM,661000000,NA,NA,NA
2015,YR2015,Andorra,AND,2789870187.50693,NA,NA,NA
2015,YR2015,Angola,AGO,116193649124.151,9.052,157.2756,97.5692386262848
2015,YR2015,Antigua and Barbuda,ATG,1336692592.59259,6.227,44.4692,44.3652410047522
2015,YR2015,Arab World,ARB,2529694233782.42,5.49165625851344,48.2797370085637,61.195307253378
2015,YR2015,Argentina,ARG,594749285413.212,7.638,63.096,56.103604348639
2015,YR2015,Armenia,ARM,10553337672.9872,9.823,22.8308,44.838175789912
2015,YR2015,Aruba,ABW,2919553072.6257,8.627,25.0092,44.5927219312103
2015,YR2015,Australia,AUS,1351693984524.5,6.6,11.9498,50.9250562135116
2015,YR2015,Austria,AUT,381817565893.574,9.6,7.7896,49.1656923872968
2015,YR2015,Azerbaijan,AZE,53074370486.0433,5.7,53.1988,40.0764593805005
2015,YR2015,"Bahamas, The",BHS,11752300000,6.671,31.1194,44.26329363779
2015,YR2015,Bahrain,BHR,31125851063.8298,2.346,13.618,30.1641745869543
2015,YR2015,Bangladesh,BGD,195078678697.23,5.549,85.2192,52.3958676972212
2015,YR2015,Barbados,BRB,4715000000,8.789,37.2136,49.1827792824352
2015,YR2015,Belarus,BLR,56454734396.5842,12.6,17.2534,44.0639238558713
2015,YR2015,Belgium,BEL,462149679343.822,9.8,5.2022,54.193605740924
2015,YR2015,Belize,BLZ,1723800000,4.624,70.1638,57.5287401471705
2015,YR2015,Benin,BEN,11388160958.249,9.332,90.2036,86.0977848350733
2015,YR2015,Bermuda,BMU,NA,7.4,NA,NA
2015,YR2015,Bhutan,BTN,2003598212.99135,6.257,23.306,49.5259753199025
2015,YR2015,Bolivia,BOL,33000198263.3864,6.89,68.0956,64.3685000434748
2015,YR2015,Bosnia and Herzegovina,BIH,16211541253.1897,10.305,10.608,42.2922954488685
2015,YR2015,Botswana,BWA,14420604205.7459,6.259,46.8966,63.2737970129443
2015,YR2015,Brazil,BRA,1802214373741.32,6.25,61.0878,43.7481057517691
2015,YR2015,British Virgin Islands,VGB,NA,NA,NA,NA
2015,YR2015,Brunei Darussalam,BRN,12930394937.8137,4.162,11.9396,39.2034436250663
2015,YR2015,Bulgaria,BGR,50630703922.0132,15.3,41.4184,52.1897714267056
2015,YR2015,Burkina Faso,BFA,11832159275.603,8.823,108.7606,92.2404614970802
2015,YR2015,Burundi,BDI,3104394858.11518,8.517,57.63,90.8999251434
2015,YR2015,Cabo Verde,CPV,1596800287.16405,5.807,75.7158,52.5579786197934
2015,YR2015,Cambodia,KHM,18049954289.4229,6.099,49.6326,55.5726749850255
2015,YR2015,Cameroon,CMR,30928653813.8538,10.046,111.8636,85.0001973208983
2015,YR2015,Canada,CAN,1556129524418.21,7.4,9.6298,47.156455788445
2015,YR2015,Caribbean small states,CSS,71787351547.7856,7.44826042272022,54.1721264583849,48.9141567839872
2015,YR2015,Cayman Islands,CYM,4708336733.46934,2.87872117045416,NA,NA
2015,YR2015,Central African Republic,CAF,1695825708.45604,13.621,132.8304,92.4402496274904
2015,YR2015,Central Europe and the Baltics,CEB,1290074477530.02,11.8380895973408,20.065642617733,46.9170700171065
2015,YR2015,Chad,TCD,10950392219.9104,12.77,167.942,101.131862259708
2015,YR2015,Channel Islands,CHI,NA,7.858,7.6236,46.986677568723
2015,YR2015,Chile,CHL,243919085308.936,5.917,46.152,45.271634186872
2015,YR2015,China,CHN,11061552790044.2,7.11,7.5318,37.7138573515833
2015,YR2015,Colombia,COL,293481753078.868,5.41,69.3178,47.5456427995586
2015,YR2015,Comoros,COM,966029542.038859,7.491,68.989,75.5470150702934
2015,YR2015,"Congo, Dem. Rep.",COD,37917704900.0794,10.164,126.2696,97.4793051484169
2015,YR2015,"Congo, Rep.",COG,8556594871.17728,7.18,114.6758,80.9094021500826
2015,YR2015,Costa Rica,CRI,54775994478.5095,4.862,55.9828,44.5771677535742
2015,YR2015,Cote d'Ivoire,CIV,45814637971.4745,10.769,120.3414,83.0206847717815
2015,YR2015,Croatia,HRV,49530641704.2124,12.9,9.6774,51.0274354031023
2015,YR2015,Cuba,CUB,87133000000,8.502,52.4564,44.3447133124725
2015,YR2015,Curacao,CUW,3151910782.1229,8.8,30.7996,54.0637007275068
2015,YR2015,Cyprus,CYP,19779150116.4984,6.838,4.8136,42.305302136078
2015,YR2015,Czech Republic,CZE,186829940545.759,10.5,11.484,49.4973099565417
2015,YR2015,Denmark,DNK,302673068765.972,9.2,4.2482,55.9833595296141
2015,YR2015,Djibouti,DJI,2430287967.02678,7.842,19.9894,53.5462053301437
2015,YR2015,Dominica,DMA,540737037.037037,NA,NA,NA
2015,YR2015,Dominican Republic,DOM,71164825256.6849,6.081,95.5912,54.6507059523573
2015,YR2015,Early-demographic dividend,EAR,10295016612748.8,6.6530982328261,40.376319873109,55.0155884815275
2015,YR2015,East Asia & Pacific,EAS,21911486166782.7,7.07154119094088,20.7927291470796,42.4911745841175
2015,YR2015,East Asia & Pacific (excluding high income),EAP,13294449896256,6.93010090236071,22.2894996016783,41.3338520543942
2015,YR2015,East Asia & Pacific (IDA & IBRD),TEA,13268973169711.7,6.9072133848258,22.5997360957555,41.298332771732
2015,YR2015,Ecuador,ECU,99290381000,5.096,80.6542,55.4273580765994
2015,YR2015,"Egypt, Arab Rep.",EGY,332698041030.807,5.971,54.595,62.3790235830238
